TAXON_ORDER,CATEGORY,SPECIES_CODE,SciName,SciName_updated,PRIMARY_COM_NAME,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
7921,species,levspa1,Accipiter brevipes,Accipiter brevipes,Levant Sparrowhawk,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
8062,species,norgos,Accipiter gentilis,Accipiter gentilis,Northern Goshawk,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
8020,species,eurspa1,Accipiter nisus,Accipiter nisus,Eurasian Sparrowhawk,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
27283,species,vibsta4,Acridotheres burmannicus,Acridotheres leucocephalus,Vinous-breasted Myna,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,NA
27283,species,vibsta4,Acridotheres burmannicus/leucocephalus,Acridotheres leucocephalus,Vinous-breasted Myna,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,NA
27283,species,vibsta4,Acridotheres leucocephalus,Acridotheres leucocephalus,Vinous-breasted Myna,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,NA
27278,species,commyn,Acridotheres tristis,Acridotheres tristis,Common Myna,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,NA
23137,species,sedwar1,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Sedge Warbler,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Reed Warblers and Allies,NA
23151,species,eurwar1,Acrocephalus scirpaceus,Acrocephalus scirpaceus,Common Reed Warbler,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Reed Warblers and Allies,NA
22216,species,skylar,Alauda arvensis,Alauda arvensis,Eurasian Skylark,Passeriformes,Alaudidae (Larks),Larks,NA
22175,species,mstlar1,Alaudala rufescens,Alaudala rufescens,Mediterranean Short-toed Lark,Passeriformes,Alaudidae (Larks),Larks,NA
22175,species,mstlar1,Alaudala rufescens/heinei,Alaudala rufescens,Mediterranean Short-toed Lark,Passeriformes,Alaudidae (Larks),Larks,NA
22175,species,mstlar1,Calandrella rufescens,Alaudala rufescens,Mediterranean Short-toed Lark,Passeriformes,Alaudidae (Larks),Larks,NA
22175,species,mstlar1,Alaudala heinei,Alaudala rufescens,Mediterranean Short-toed Lark,Passeriformes,Alaudidae (Larks),Larks,NA
1680,species,chukar,Alectoris chukar,Alectoris chukar,Chukar,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",NA
21864,species,batlar1,Ammomanes cinctura,Ammomanes cinctura,Bar-tailed Lark,Passeriformes,Alaudidae (Larks),Larks,NA
21869,species,deslar1,Ammomanes deserti,Ammomanes deserti,Desert Lark,Passeriformes,Alaudidae (Larks),Larks,NA
1631,species,sanpar1,Ammoperdix heyi,Ammoperdix heyi,Sand Partridge,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",NA
505,species,mallar3,Anas platyrhynchos,Anas platyrhynchos,Mallard,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,NA
31160,species,tawpip1,Anthus campestris,Anthus campestris,Tawny Pipit,Passeriformes,Motacillidae (Wagtails and Pipits),Wagtails and Pipits,NA
31215,species,retpip,Anthus cervinus,Anthus cervinus,Red-throated Pipit,Passeriformes,Motacillidae (Wagtails and Pipits),Wagtails and Pipits,NA
31198,species,meapip1,Anthus pratensis,Anthus pratensis,Meadow Pipit,Passeriformes,Motacillidae (Wagtails and Pipits),Wagtails and Pipits,NA
31133,species,lobpip1,Anthus similis,Anthus similis,Long-billed Pipit,Passeriformes,Motacillidae (Wagtails and Pipits),Wagtails and Pipits,NA
31216,species,watpip1,Anthus spinoletta,Anthus spinoletta,Water Pipit,Passeriformes,Motacillidae (Wagtails and Pipits),Wagtails and Pipits,NA
31202,species,trepip,Anthus trivialis,Anthus trivialis,Tree Pipit,Passeriformes,Motacillidae (Wagtails and Pipits),Wagtails and Pipits,NA
4082,species,litswi1,Apus affinis,Apus affinis,Little Swift,Caprimulgiformes,Apodidae (Swifts),Swifts,NA
4041,species,comswi,Apus apus,Apus apus,Common Swift,Caprimulgiformes,Apodidae (Swifts),Swifts,NA
4024,species,alpswi1,Apus melba,Apus melba,Alpine Swift,Caprimulgiformes,Apodidae (Swifts),Swifts,NA
4024,species,alpswi1,Tachymarptis melba,Apus melba,Alpine Swift,Caprimulgiformes,Apodidae (Swifts),Swifts,NA
4048,species,palswi3,Apus pallidus,Apus pallidus,Pallid Swift,Caprimulgiformes,Apodidae (Swifts),Swifts,NA
7799,species,goleag,Aquila chrysaetos,Aquila chrysaetos,Golden Eagle,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
7811,species,boneag2,Aquila fasciata,Aquila fasciata,Bonelli's Eagle,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
7811,species,boneag2,Hieraaetus fasciatus,Aquila fasciata,Bonelli's Eagle,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
7792,species,steeag1,Aquila nipalensis,Aquila nipalensis,Steppe Eagle,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
7299,species,graher1,Ardea cinerea,Ardea cinerea,Gray Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)","Herons, Ibis, and Allies",NA
7375,species,squher1,Ardeola ralloides,Ardeola ralloides,Squacco Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)","Herons, Ibis, and Allies",NA
26072,species,arabab1,Argya squamiceps,Argya squamiceps,Arabian Babbler,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),Laughingthrushes and Allies,NA
26072,species,arabab1,Turdoides squamiceps,Argya squamiceps,Arabian Babbler,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),Laughingthrushes and Allies,NA
8819,species,litowl1,Athene noctua,Athene noctua,Little Owl,Strigiformes,Strigidae (Owls),Owls,NA
7370,species,categr,Bubulcus ibis,Bubulcus ibis,Cattle Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)","Herons, Ibis, and Allies",NA
31606,species,trufin2,Bucanetes githagineus,Bucanetes githagineus,Trumpeter Finch,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",NA
5663,species,eutkne1,Burhinus oedicnemus,Burhinus oedicnemus,Eurasian Thick-knee,Charadriiformes,Burhinidae (Thick-knees),Shorebirds,NA
8262,species,combuz1,Buteo buteo,Buteo buteo,Common Buzzard,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
8268,issf,combuz5,Buteo buteo vulpinus,Buteo buteo vulpinus/menetriesi,Common Buzzard (Steppe),Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",combuz1
8268,issf,combuz5,Buteo buteo vulpinus/menetriesi,Buteo buteo vulpinus/menetriesi,Common Buzzard (Steppe),Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",combuz1
8284,species,lolbuz1,Buteo rufinus,Buteo rufinus,Long-legged Buzzard,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
22132,species,gstlar1,Calandrella brachydactyla,Calandrella brachydactyla,Greater Short-toed Lark,Passeriformes,Alaudidae (Larks),Larks,NA
31889,species,eurgol,Carduelis carduelis,Carduelis carduelis,European Goldfinch,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",NA
30991,species,palroc1,Carpospiza brachydactyla,Carpospiza brachydactyla,Pale Rockfinch,Passeriformes,Passeridae (Old World Sparrows),Old World Sparrows,NA
30991,species,palroc1,Petronia brachydactyla,Carpospiza brachydactyla,Pale Rockfinch,Passeriformes,Passeridae (Old World Sparrows),Old World Sparrows,NA
23657,species,rerswa1,Cecropis daurica,Cecropis daurica,Red-rumped Swallow,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,NA
23657,species,rerswa1,Hirundo daurica,Cecropis daurica,Red-rumped Swallow,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,NA
28337,species,rutscr1,Cercotrichas galactotes,Cercotrichas galactotes,Rufous-tailed Scrub-Robin,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
28337,species,rutscr1,Erythropygia galactotes,Cercotrichas galactotes,Rufous-tailed Scrub-Robin,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
24559,species,cetwar1,Cettia cetti,Cettia cetti,Cetti's Warbler,Passeriformes,Scotocercidae (Bush Warblers and Allies),Bush Warblers and Allies,NA
2901,species,macbus1,Chlamydotis macqueeni,Chlamydotis macqueenii,Macqueen's Bustard,Otidiformes,Otididae (Bustards),Bustards,NA
2901,species,macbus1,Chlamydotis macqueenii,Chlamydotis macqueenii,Macqueen's Bustard,Otidiformes,Otididae (Bustards),Bustards,NA
31674,species,eurgre1,Carduelis chloris,Chloris chloris,European Greenfinch,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",NA
31674,species,eurgre1,Chloris chloris,Chloris chloris,European Greenfinch,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",NA
7061,species,whisto1,Ciconia ciconia,Ciconia ciconia,White Stork,Ciconiiformes,Ciconiidae (Storks),Storks,NA
7053,species,blasto1,Ciconia nigra,Ciconia nigra,Black Stork,Ciconiiformes,Ciconiidae (Storks),Storks,NA
29767,species,palsun2,Cinnyris osea,Cinnyris osea,Palestine Sunbird,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Sunbirds and Spiderhunters,NA
29767,species,palsun2,Nectarinia osea,Cinnyris osea,Palestine Sunbird,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Sunbirds and Spiderhunters,NA
7721,species,shteag1,Circaetus gallicus,Circaetus gallicus,Short-toed Snake-Eagle,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
7857,species,wemhar1,Circus aeruginosus,Circus aeruginosus,Eurasian Marsh-Harrier,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
7872,species,norhar1,Circus cyaneus,Circus cyaneus,Hen Harrier,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
7875,species,palhar1,Circus macrourus,Circus macrourus,Pallid Harrier,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
7878,species,monhar1,Circus pygargus,Circus pygargus,Montagu's Harrier,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
23006,species,zitcis1,Cisticola juncidis,Cisticola juncidis,Zitting Cisticola,Passeriformes,Cisticolidae (Cisticolas and Allies),Cisticolas and Allies,NA
3173,species,grscuc1,Clamator glandarius,Clamator glandarius,Great Spotted Cuckoo,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,NA
7779,species,grseag1,Aquila clanga,Clanga clanga,Greater Spotted Eagle,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
7779,species,grseag1,Clanga clanga,Clanga clanga,Greater Spotted Eagle,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
7777,species,leseag1,Aquila pomarina,Clanga pomarina,Lesser Spotted Eagle,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
7777,species,leseag1,Clanga pomarina,Clanga pomarina,Lesser Spotted Eagle,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
31434,species,hawfin,Coccothraustes coccothraustes,Coccothraustes coccothraustes,Hawfinch,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",NA
1856,species,rocpig,Columba livia,Columba livia,Rock Pigeon,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,NA
1871,domestic,rocpig1,Columba livia (Feral Pigeon),Columba livia (Feral Pigeon),Rock Pigeon (Feral Pigeon),Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,rocpig
1871,domestic,rocpig1,Columba livia (domesticus),Columba livia (Feral Pigeon),Rock Pigeon (Feral Pigeon),Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,rocpig
1888,species,cowpig1,Columba palumbus,Columba palumbus,Common Wood-Pigeon,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,NA
10032,species,eurrol1,Coracias garrulus,Coracias garrulus,European Roller,Coraciiformes,Coraciidae (Rollers),"Bee-eaters, Rollers, and Allies",NA
21121,species,comrav,Corvus corax,Corvus corax,Common Raven,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",NA
21076,species,hoocro1,Corvus cornix,Corvus cornix,Hooded Crow,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",NA
21010,species,eurjac,Corvus monedula,Corvus monedula,Eurasian Jackdaw,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",NA
21115,species,brnrav1,Corvus ruficollis,Corvus ruficollis,Brown-necked Raven,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",NA
1659,species,comqua1,Coturnix coturnix,Coturnix coturnix,Common Quail,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",NA
3396,species,comcuc,Cuculus canorus,Cuculus canorus,Common Cuckoo,Cuculiformes,Cuculidae (Cuckoos),Cuckoos,NA
24810,species,grewhi1,Curruca communis,Curruca communis,Greater Whitethroat,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24810,species,grewhi1,Sylvia communis,Curruca communis,Greater Whitethroat,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24815,species,spewar2,Curruca conspicillata,Curruca conspicillata,Spectacled Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24815,species,spewar2,Sylvia conspicillata,Curruca conspicillata,Spectacled Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24782,species,eaowar2,Curruca crassirostris,Curruca crassirostris,Eastern Orphean Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24782,species,eaowar2,Sylvia crassirostris,Curruca crassirostris,Eastern Orphean Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24753,species,leswhi4,Curruca curruca,Curruca curruca,Lesser Whitethroat,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24753,species,leswhi4,Sylvia curruca,Curruca curruca,Lesser Whitethroat,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24774,species,reswar1,Curruca leucomelaena,Curruca leucomelaena,Arabian Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24774,species,reswar1,Sylvia leucomelaena,Curruca leucomelaena,Arabian Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24799,species,sarwar1,Curruca melanocephala,Curruca melanocephala,Sardinian Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24799,species,sarwar1,Sylvia melanocephala,Curruca melanocephala,Sardinian Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24798,species,cypwar1,Curruca melanothorax,Curruca melanothorax,Cyprus Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24798,species,cypwar1,Sylvia melanothorax,Curruca melanothorax,Cyprus Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24736,species,barwar1,Curruca nisoria,Curruca nisoria,Barred Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24736,species,barwar1,Sylvia nisoria,Curruca nisoria,Barred Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24797,species,ruewar1,Curruca ruppeli,Curruca ruppeli,Rüppell's Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24797,species,ruewar1,Sylvia rueppelli,Curruca ruppeli,Rüppell's Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24797,species,ruewar1,Sylvia ruppeli,Curruca ruppeli,Rüppell's Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
6217,species,crccou1,Cursorius cursor,Cursorius cursor,Cream-colored Courser,Charadriiformes,Glareolidae (Pratincoles and Coursers),Shorebirds,NA
23729,species,cohmar1,Delichon urbicum,Delichon urbicum,Common House-Martin,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,NA
11056,species,syrwoo1,Dendrocopos syriacus,Dendrocopos syriacus,Syrian Woodpecker,Piciformes,Picidae (Woodpeckers),Woodpeckers,NA
7340,species,litegr,Egretta garzetta,Egretta garzetta,Little Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)","Herons, Ibis, and Allies",NA
7575,species,bkskit1,Elanus caeruleus,Elanus caeruleus,Black-winged Kite,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
32078,species,crebun2,Emberiza caesia,Emberiza caesia,Cretzschmar's Bunting,Passeriformes,Emberizidae (Old World Buntings),Old World Buntings,NA
32031,species,corbun1,Emberiza calandra,Emberiza calandra,Corn Bunting,Passeriformes,Emberizidae (Old World Buntings),Old World Buntings,NA
32031,species,corbun1,Miliaria calandr,Emberiza calandra,Corn Bunting,Passeriformes,Emberizidae (Old World Buntings),Old World Buntings,NA
32031,species,corbun1,Miliaria calandra,Emberiza calandra,Corn Bunting,Passeriformes,Emberizidae (Old World Buntings),Old World Buntings,NA
32040,species,rocbun1,Emberiza cia,Emberiza cia,Rock Bunting,Passeriformes,Emberizidae (Old World Buntings),Old World Buntings,NA
32076,species,ortbun1,Emberiza hortulana,Emberiza hortulana,Ortolan Bunting,Passeriformes,Emberizidae (Old World Buntings),Old World Buntings,NA
32027,species,blhbun1,Emberiza melanocephala,Emberiza melanocephala,Black-headed Bunting,Passeriformes,Emberizidae (Old World Buntings),Old World Buntings,NA
28624,species,eurrob1,Erithacus rubecula,Erithacus rubecula,European Robin,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
30419,species,indsil,Euodice malabarica,Euodice malabarica,Indian Silverbill,Passeriformes,Estrildidae (Waxbills and Allies),Estrildids,NA
30419,species,indsil,Lonchura malabarica,Euodice malabarica,Indian Silverbill,Passeriformes,Estrildidae (Waxbills and Allies),Estrildids,NA
11729,species,elefal1,Falco eleonorae,Falco eleonorae,Eleonora's Falcon,Falconiformes,Falconidae (Falcons and Caracaras),Falcons and Caracaras,NA
11662,species,leskes1,Falco naumanni,Falco naumanni,Lesser Kestrel,Falconiformes,Falconidae (Falcons and Caracaras),Falcons and Caracaras,NA
11793,issf,barfal1,Falco pelegrinoides,Falco peregrinus pelegrinoides,Peregrine Falcon (Barbary),Falconiformes,Falconidae (Falcons and Caracaras),Falcons and Caracaras,perfal
