TAXON_ORDER,CATEGORY,SPECIES_CODE,SciName,SciName_updated,PRIMARY_COM_NAME,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
11793,issf,barfal1,Falco peregrinus pelegrinoides,Falco peregrinus pelegrinoides,Peregrine Falcon (Barbary),Falconiformes,Falconidae (Falcons and Caracaras),Falcons and Caracaras,perfal
11742,species,eurhob,Falco subbuteo,Falco subbuteo,Eurasian Hobby,Falconiformes,Falconidae (Falcons and Caracaras),Falcons and Caracaras,NA
11663,species,eurkes,Falco tinnunculus,Falco tinnunculus,Eurasian Kestrel,Falconiformes,Falconidae (Falcons and Caracaras),Falcons and Caracaras,NA
28935,species,colfly1,Ficedula albicollis,Ficedula albicollis,Collared Flycatcher,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
28928,species,eupfly1,Ficedula hypoleuca,Ficedula hypoleuca,European Pied Flycatcher,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
1571,species,blkfra,Francolinus francolinus,Francolinus francolinus,Black Francolin,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",NA
31293,species,comcha,Fringilla coelebs,Fringilla coelebs,Common Chaffinch,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",NA
31315,species,brambl,Fringilla montifringilla,Fringilla montifringilla,Brambling,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",NA
22266,species,crelar1,Galerida cristata,Galerida cristata,Crested Lark,Passeriformes,Alaudidae (Larks),Larks,NA
5380,species,commoo3,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",NA
20835,species,eurjay1,Garrulus glandarius,Garrulus glandarius,Eurasian Jay,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",NA
7677,species,eurgri1,Gyps fulvus,Gyps fulvus,Eurasian Griffon,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
9712,species,whtkin2,Halcyon smyrnensis,Halcyon smyrnensis,White-throated Kingfisher,Coraciiformes,Alcedinidae (Kingfishers),Kingfishers,NA
7784,species,booeag1,Hieraaetus pennatus,Hieraaetus pennatus,Booted Eagle,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
23124,species,upcwar1,Hippolais languida,Hippolais languida,Upcher's Warbler,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Reed Warblers and Allies,NA
23125,species,oltwar1,Hippolais olivetorum,Hippolais olivetorum,Olive-tree Warbler,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Reed Warblers and Allies,NA
23610,species,barswa,Hirundo rustica,Hirundo rustica,Barn Swallow,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,NA
23110,species,eaowar1,Hippolais pallida,Iduna pallida,Eastern Olivaceous Warbler,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Reed Warblers and Allies,NA
23110,species,eaowar1,Iduna pallida,Iduna pallida,Eastern Olivaceous Warbler,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Reed Warblers and Allies,NA
10696,species,eurwry,Jynx torquilla,Jynx torquilla,Eurasian Wryneck,Piciformes,Picidae (Woodpeckers),Woodpeckers,NA
20526,species,rebshr1,Lanius collurio,Lanius collurio,Red-backed Shrike,Passeriformes,Laniidae (Shrikes),Shrikes,NA
20592,species,norshr1,Lanius excubitor,Lanius excubitor,Great Gray Shrike,Passeriformes,Laniidae (Shrikes),Shrikes,NA
20592,species,norshr1,Lanius meridionalis,Lanius excubitor,Great Gray Shrike,Passeriformes,Laniidae (Shrikes),Shrikes,NA
20610,species,legshr2,Lanius minor,Lanius minor,Lesser Gray Shrike,Passeriformes,Laniidae (Shrikes),Shrikes,NA
20648,species,masshr1,Lanius nubicus,Lanius nubicus,Masked Shrike,Passeriformes,Laniidae (Shrikes),Shrikes,NA
20649,species,wooshr1,Lanius senator,Lanius senator,Woodchat Shrike,Passeriformes,Laniidae (Shrikes),Shrikes,NA
31809,species,eurlin1,Carduelis cannabina,Linaria cannabina,Eurasian Linnet,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",NA
31809,species,eurlin1,Linaria cannabina,Linaria cannabina,Eurasian Linnet,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",NA
23274,species,savwar1,Locustella luscinioides,Locustella luscinioides,Savi's Warbler,Passeriformes,Locustellidae (Grassbirds and Allies),Grassbirds and Allies,NA
22192,species,woolar1,Lullula arborea,Lullula arborea,Wood Lark,Passeriformes,Alaudidae (Larks),Larks,NA
28766,species,thrnig1,Luscinia luscinia,Luscinia luscinia,Thrush Nightingale,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
28767,species,comnig1,Luscinia megarhynchos,Luscinia megarhynchos,Common Nightingale,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
28777,species,blueth,Luscinia svecica,Luscinia svecica,Bluethroat,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
22148,species,bimlar1,Melanocorypha bimaculata,Melanocorypha bimaculata,Bimaculated Lark,Passeriformes,Alaudidae (Larks),Larks,NA
22149,species,callar1,Melanocorypha calandra,Melanocorypha calandra,Calandra Lark,Passeriformes,Alaudidae (Larks),Larks,NA
10022,species,eubeat1,Merops apiaster,Merops apiaster,European Bee-eater,Coraciiformes,Meropidae (Bee-eaters),"Bee-eaters, Rollers, and Allies",NA
10001,species,grnbee2,Merops orientalis,Merops cyanophrys,Arabian Green Bee-eater,Coraciiformes,Meropidae (Bee-eaters),"Bee-eaters, Rollers, and Allies",NA
10001,species,grnbee2,Merops cyanophrys,Merops cyanophrys,Arabian Green Bee-eater,Coraciiformes,Meropidae (Bee-eaters),"Bee-eaters, Rollers, and Allies",NA
10013,species,bcbeat1,Merops persicus,Merops persicus,Blue-cheeked Bee-eater,Coraciiformes,Meropidae (Bee-eaters),"Bee-eaters, Rollers, and Allies",NA
7149,species,pygcor2,Microcarbo pygmaeus,Microcarbo pygmaeus,Pygmy Cormorant,Suliformes,Phalacrocoracidae (Cormorants and Shags),Cormorants and Anhingas,NA
7149,species,pygcor2,Microcarbo pygmeus,Microcarbo pygmaeus,Pygmy Cormorant,Suliformes,Phalacrocoracidae (Cormorants and Shags),Cormorants and Anhingas,NA
8086,species,blakit1,Milvus migrans,Milvus migrans,Black Kite,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
29020,species,rtrthr1,Monticola saxatilis,Monticola saxatilis,Rufous-tailed Rock-Thrush,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
29021,species,burthr,Monticola solitarius,Monticola solitarius,Blue Rock-Thrush,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
31070,species,whiwag,Motacilla alba,Motacilla alba,White Wagtail,Passeriformes,Motacillidae (Wagtails and Pipits),Wagtails and Pipits,NA
31032,species,eaywag1,Motacilla flava,Motacilla flava,Western Yellow Wagtail,Passeriformes,Motacillidae (Wagtails and Pipits),Wagtails and Pipits,NA
28196,species,spofly1,Muscicapa striata,Muscicapa striata,Spotted Flycatcher,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
7596,species,egyvul1,Neophron percnopterus,Neophron percnopterus,Egyptian Vulture,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
2157,species,namdov1,Oena capensis,Oena capensis,Namaqua Dove,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,NA
29167,species,deswhe1,Oenanthe deserti,Oenanthe deserti,Desert Wheatear,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
29236,species,finwhe1,Oenanthe finschii,Oenanthe finschii,Finsch's Wheatear,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
29173,species,bkewhe2,Oenanthe hispanica,Oenanthe melanoleuca,Eastern Black-eared Wheatear,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
29173,species,bkewhe2,Oenanthe hispanica/melanoleuca,Oenanthe melanoleuca,Eastern Black-eared Wheatear,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
29173,species,bkewhe2,Oenanthe melanoleuca,Oenanthe melanoleuca,Eastern Black-eared Wheatear,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
29164,species,isawhe1,Oenanthe isabellina,Oenanthe isabellina,Isabelline Wheatear,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
29225,species,whtwhe1,Oenanthe leucopyga,Oenanthe leucopyga,White-crowned Wheatear,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
29239,species,mouwhe2,Oenanthe lugens,Oenanthe lugens,Mourning Wheatear,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
29191,species,blacks1,Cercomela melanura,Oenanthe melanura,Blackstart,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
29191,species,blacks1,Oenanthe melanura,Oenanthe melanura,Blackstart,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
29166,species,hoowhe1,Oenanthe monacha,Oenanthe monacha,Hooded Wheatear,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
29151,species,norwhe,Oenanthe oenanthe,Oenanthe oenanthe,Northern Wheatear,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
27337,species,trista1,Onychognathus tristramii,Onychognathus tristramii,Tristram's Starling,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,NA
19140,species,eugori2,Oriolus oriolus,Oriolus oriolus,Eurasian Golden Oriole,Passeriformes,Oriolidae (Old World Orioles),Old World Orioles,NA
7565,species,osprey,Pandion haliaetus,Pandion haliaetus,Osprey,Accipitriformes,Pandionidae (Osprey),"Vultures, Hawks, and Allies",NA
21672,species,gretit1,Parus major,Parus major,Great Tit,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)","Tits, Chickadees, and Titmice",NA
30886,species,houspa,Passer domesticus,Passer domesticus,House Sparrow,Passeriformes,Passeridae (Old World Sparrows),Old World Sparrows,NA
30904,species,spaspa1,Passer hispaniolensis,Passer hispaniolensis,Spanish Sparrow,Passeriformes,Passeridae (Old World Sparrows),Old World Sparrows,NA
7232,species,grwpel1,Pelecanus onocrotalus,Pelecanus onocrotalus,Great White Pelican,Pelecaniformes,Pelecanidae (Pelicans),Pelicans,NA
7608,species,euhbuz1,Pernis apivorus,Pernis apivorus,European Honey-buzzard,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
7613,species,orihob2,Pernis ptilorhynchus,Pernis ptilorhynchus,Oriental Honey-buzzard,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
7613,species,orihob2,Pernis ptilorhyncus,Pernis ptilorhynchus,Oriental Honey-buzzard,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
30983,species,rocpet1,Petronia petronia,Petronia petronia,Rock Sparrow,Passeriformes,Passeridae (Old World Sparrows),Old World Sparrows,NA
7159,species,grecor,Phalacrocorax carbo,Phalacrocorax carbo,Great Cormorant,Suliformes,Phalacrocoracidae (Cormorants and Shags),Cormorants and Anhingas,NA
28987,species,blared1,Phoenicurus ochruros,Phoenicurus ochruros,Black Redstart,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
28979,species,comred2,Phoenicurus phoenicurus,Phoenicurus phoenicurus,Common Redstart,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
24317,species,comchi1,Phylloscopus collybita,Phylloscopus collybita,Common Chiffchaff,Passeriformes,Phylloscopidae (Leaf Warblers),Leaf Warblers,NA
24261,species,eabwar1,Phylloscopus orientalis,Phylloscopus orientalis,Eastern Bonelli's Warbler,Passeriformes,Phylloscopidae (Leaf Warblers),Leaf Warblers,NA
24258,species,woowar,Phylloscopus sibilatrix,Phylloscopus sibilatrix,Wood Warbler,Passeriformes,Phylloscopidae (Leaf Warblers),Leaf Warblers,NA
24307,species,wlwwar,Phylloscopus trochilus,Phylloscopus trochilus,Willow Warbler,Passeriformes,Phylloscopidae (Leaf Warblers),Leaf Warblers,NA
7479,species,gloibi,Plegadis falcinellus,Plegadis falcinellus,Glossy Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),"Herons, Ibis, and Allies",NA
21522,species,somtit3,Parus lugubris,Poecile lugubris,Sombre Tit,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)","Tits, Chickadees, and Titmice",NA
21522,species,somtit3,Poecile lugubris,Poecile lugubris,Sombre Tit,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)","Tits, Chickadees, and Titmice",NA
5373,species,spocra1,Porzana porzana,Porzana porzana,Spotted Crake,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)","Rails, Gallinules, and Allies",NA
22725,species,grapri1,Prinia gracilis,Prinia gracilis,Graceful Prinia,Passeriformes,Cisticolidae (Cisticolas and Allies),Cisticolas and Allies,NA
30866,species,dunnoc1,Prunella modularis,Prunella modularis,Dunnock,Passeriformes,Prunellidae (Accentors),Accentors,NA
12019,species,rorpar,Psittacula krameri,Psittacula krameri,Rose-ringed Parakeet,Psittaciformes,Psittaculidae (Old World Parrots),"Parrots, Parakeets, and Allies",NA
2839,species,pitsan1,Pterocles alchata,Pterocles alchata,Pin-tailed Sandgrouse,Pterocliformes,Pteroclidae (Sandgrouse),Sandgrouse,NA
2858,species,crosan1,Pterocles coronatus,Pterocles coronatus,Crowned Sandgrouse,Pterocliformes,Pteroclidae (Sandgrouse),Sandgrouse,NA
2852,species,blbsan1,Pterocles orientalis,Pterocles orientalis,Black-bellied Sandgrouse,Pterocliformes,Pteroclidae (Sandgrouse),Sandgrouse,NA
2851,species,sposan1,Pterocles senegallus,Pterocles senegallus,Spotted Sandgrouse,Pterocliformes,Pteroclidae (Sandgrouse),Sandgrouse,NA
23588,species,rocmar2,Hirundo obsoleta,Ptyonoprogne fuligula,Rock Martin,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,NA
23588,species,rocmar2,Ptyonoprogne fuligula,Ptyonoprogne fuligula,Rock Martin,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,NA
23587,species,eurcrm1,Ptyonoprogne rupestris,Ptyonoprogne rupestris,Eurasian Crag-Martin,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,NA
24019,species,whsbul1,Pycnonotus xanthopygos,Pycnonotus xanthopygos,White-spectacled Bulbul,Passeriformes,Pycnonotidae (Bulbuls),Bulbuls,NA
21769,species,euptit1,Remiz pendulinus,Remiz pendulinus,Eurasian Penduline-Tit,Passeriformes,Remizidae (Penduline-Tits),Penduline-Tits and Verdin,NA
31670,species,desfin2,Rhodopechys obsoletus,Rhodospiza obsoleta,Desert Finch,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",NA
31670,species,desfin2,Rhodospiza obsoleta,Rhodospiza obsoleta,Desert Finch,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",NA
23564,species,banswa,Riparia riparia,Riparia riparia,Bank Swallow,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,NA
29034,species,whinch1,Saxicola rubetra,Saxicola rubetra,Whinchat,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
29041,species,stonec4,Saxicola rubicola,Saxicola rubicola,European Stonechat,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
29041,species,stonec4,Saxicola torquatus,Saxicola rubicola,European Stonechat,Passeriformes,Muscicapidae (Old World Flycatchers),Old World Flycatchers,NA
6057,species,eurwoo,Scolopax rusticola,Scolopax rusticola,Eurasian Woodcock,Charadriiformes,Scolopacidae (Sandpipers and Allies),Shorebirds,NA
24517,species,stswar1,Scotocerca inquieta,Scotocerca inquieta,Scrub Warbler,Passeriformes,Scotocercidae (Bush Warblers and Allies),Bush Warblers and Allies,NA
31908,species,eurser1,Serinus serinus,Serinus serinus,European Serin,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",NA
31914,species,syrser1,Serinus syriacus,Serinus syriacus,Syrian Serin,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",NA
464,species,norsho,Anas clypeata,Spatula clypeata,Northern Shoveler,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,NA
464,species,norsho,Spatula clypeata,Spatula clypeata,Northern Shoveler,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,NA
2070,species,laudov1,Spilopelia senegalensis,Spilopelia senegalensis,Laughing Dove,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,NA
2070,species,laudov1,Stigmatopelia senegalensis,Spilopelia senegalensis,Laughing Dove,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,NA
2070,species,laudov1,Streptopelia senegalensis,Spilopelia senegalensis,Laughing Dove,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,NA
31930,species,eursis,Carduelis spinus,Spinus spinus,Eurasian Siskin,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",NA
31930,species,eursis,Spinus spinus,Spinus spinus,Eurasian Siskin,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)","Finches, Euphonias, and Allies",NA
2033,species,eucdov,Streptopelia decaocto,Streptopelia decaocto,Eurasian Collared-Dove,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,NA
2037,species,afcdov1,Streptopelia roseogrisea,Streptopelia roseogrisea,African Collared-Dove,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,NA
2017,species,eutdov,Streptopelia turtur,Streptopelia turtur,European Turtle-Dove,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,NA
8911,species,tawowl1,Strix aluco,Strix aluco,Tawny Owl,Strigiformes,Strigidae (Owls),Owls,NA
24716,species,blackc1,Sylvia atricapilla,Sylvia atricapilla,Eurasian Blackcap,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
24722,species,garwar1,Sylvia borin,Sylvia borin,Garden Warbler,Passeriformes,"Sylviidae (Sylviid Warblers, Parrotbills, and Allies)",Sylviid Warblers,NA
7663,species,lafvul1,Torgos tracheliotos,Torgos tracheliotos,Lappet-faced Vulture,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
7663,species,lafvul1,Torgos tracheliotus,Torgos tracheliotos,Lappet-faced Vulture,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)","Vultures, Hawks, and Allies",NA
6118,species,grnsan,Tringa ochropus,Tringa ochropus,Green Sandpiper,Charadriiformes,Scolopacidae (Sandpipers and Allies),Shorebirds,NA
26675,species,winwre4,Troglodytes troglodytes,Troglodytes troglodytes,Eurasian Wren,Passeriformes,Troglodytidae (Wrens),Wrens,NA
27860,species,eurbla,Turdus merula,Turdus merula,Eurasian Blackbird,Passeriformes,Turdidae (Thrushes and Allies),Thrushes,NA
27839,species,sonthr1,Turdus philomelos,Turdus philomelos,Song Thrush,Passeriformes,Turdidae (Thrushes and Allies),Thrushes,NA
9312,species,hoopoe,Upupa epops,Upupa epops,Eurasian Hoopoe,Bucerotiformes,Upupidae (Hoopoes),Hoopoes,NA
5754,species,spwlap1,Vanellus spinosus,Vanellus spinosus,Spur-winged Lapwing,Charadriiformes,Charadriidae (Plovers and Lapwings),Shorebirds,NA
5749,species,norlap,Vanellus vanellus,Vanellus vanellus,Northern Lapwing,Charadriiformes,Charadriidae (Plovers and Lapwings),Shorebirds,NA
11781,species,perfal,Falco peregrinus,Falco peregrinus,Peregrine Falcon,Falconiformes,Falconidae (Falcons and Caracaras),Falcons and Caracaras,NA
